dispute_id,order_id,reason,order_value,has_delivery_proof,has_signed_pod,ip_match,tracking_valid,comm_logs,days_to_file,prior_customer_disputes,won
DSP-2098,ORD-10440,Item not received,1207.01,1,1,1,0,0,4,0,1
DSP-2099,ORD-15835,Transaction not recognised,12049.66,1,1,1,1,0,24,2,1
DSP-2100,ORD-10740,Item not received,3801.41,0,0,0,0,3,36,1,0
DSP-2101,ORD-11600,Item not as described,8923.0,0,0,1,0,1,1,1,0
DSP-2102,ORD-14950,Duplicate charge,7997.89,0,0,0,0,0,17,0,0
DSP-2103,ORD-14879,Duplicate charge,7260.54,1,1,0,1,1,0,0,1
DSP-2104,ORD-12953,Transaction not recognised,2340.31,1,1,1,1,1,1,1,1
DSP-2105,ORD-15680,Transaction not recognised,13580.4,1,1,0,1,1,1,0,0
DSP-2106,ORD-10787,Defective item,5801.03,0,0,1,0,2,4,1,0
DSP-2107,ORD-15380,Transaction not recognised,7591.35,1,1,0,0,1,4,0,1
DSP-2108,ORD-13203,Item not as described,5617.87,1,1,0,1,0,17,0,0
DSP-2109,ORD-13559,Defective item,5368.85,1,1,1,1,3,1,0,1
DSP-2110,ORD-13948,Defective item,6741.9,0,0,1,0,0,22,0,0
DSP-2111,ORD-15123,Item not received,6182.9,1,1,0,1,0,14,0,1
DSP-2112,ORD-15459,Transaction not recognised,7884.75,1,1,0,1,1,15,0,1
DSP-2113,ORD-11062,Transaction not recognised,7698.91,1,1,1,1,2,14,0,1
DSP-2114,ORD-10047,Defective item,1838.34,1,1,1,0,1,30,0,1
DSP-2115,ORD-11452,Item not as described,4944.07,0,0,1,0,1,11,0,0
DSP-2116,ORD-11177,Defective item,4127.22,0,0,0,0,3,8,0,0
DSP-2117,ORD-13068,Defective item,3514.5,0,0,1,0,0,4,0,0
DSP-2118,ORD-13363,Item not as described,1358.27,1,0,0,1,2,1,1,0
DSP-2119,ORD-12629,Defective item,6116.27,1,0,1,1,1,1,0,1
DSP-2120,ORD-11006,Item not received,5963.28,1,1,1,1,1,8,0,1
DSP-2121,ORD-14475,Defective item,6384.93,0,0,0,0,1,13,0,1
DSP-2122,ORD-12543,Item not received,10745.23,0,0,1,0,0,22,0,0
DSP-2123,ORD-10910,Transaction not recognised,6161.96,0,0,0,0,2,11,1,0
DSP-2124,ORD-15574,Item not received,7804.94,1,1,1,0,1,24,0,1
DSP-2125,ORD-14819,Duplicate charge,2274.62,1,1,0,1,2,0,0,1
DSP-2126,ORD-13146,Item not as described,3795.94,1,0,0,0,2,11,0,0
DSP-2127,ORD-13626,Transaction not recognised,4032.37,1,1,0,1,1,28,0,1
DSP-2128,ORD-13928,Transaction not recognised,11812.43,0,0,1,0,2,1,0,1
DSP-2129,ORD-15672,Defective item,4157.3,0,0,1,0,2,24,0,0
DSP-2130,ORD-10608,Duplicate charge,9274.61,0,0,1,0,0,3,1,1
DSP-2131,ORD-12006,Transaction not recognised,6216.5,1,1,1,1,2,1,0,1
DSP-2132,ORD-10944,Transaction not recognised,6036.58,0,0,1,0,0,2,0,0
DSP-2133,ORD-13413,Defective item,1087.81,1,1,0,1,1,0,1,1
DSP-2134,ORD-12209,Item not received,2285.64,1,0,0,1,3,10,0,0
DSP-2135,ORD-13356,Transaction not recognised,2638.24,0,0,1,0,3,6,0,1
DSP-2136,ORD-14560,Duplicate charge,5846.27,1,1,0,1,0,0,0,1
DSP-2137,ORD-11679,Item not received,6836.88,1,1,0,1,0,8,0,1
DSP-2138,ORD-14879,Defective item,2476.91,1,1,1,1,2,8,0,1
DSP-2139,ORD-12004,Transaction not recognised,4466.29,0,0,0,0,3,1,0,0
DSP-2140,ORD-12149,Item not received,4414.34,0,0,0,0,1,2,0,0
DSP-2141,ORD-10528,Transaction not recognised,3736.29,0,0,0,0,0,1,1,0
DSP-2142,ORD-13959,Duplicate charge,5166.51,1,1,1,1,0,0,0,1
DSP-2143,ORD-13728,Transaction not recognised,12728.8,1,1,1,1,1,25,0,1
DSP-2144,ORD-14491,Duplicate charge,8146.12,1,0,1,1,4,5,0,1
DSP-2145,ORD-14854,Defective item,8635.33,0,0,1,0,0,5,0,0
DSP-2146,ORD-14871,Defective item,3564.74,0,0,1,0,1,43,1,0
DSP-2147,ORD-12872,Item not received,8443.99,1,1,1,1,2,29,0,1
DSP-2148,ORD-14647,Item not received,18636.52,1,1,1,1,0,4,1,1
DSP-2149,ORD-15387,Item not received,4272.62,1,1,0,1,0,5,0,1
DSP-2150,ORD-10453,Duplicate charge,5485.35,1,1,0,1,0,11,0,1
DSP-2151,ORD-15017,Duplicate charge,2792.06,1,1,0,1,0,8,0,1
DSP-2152,ORD-11281,Duplicate charge,4138.08,1,0,1,1,3,9,0,1
DSP-2153,ORD-14588,Defective item,1595.86,1,1,1,0,2,2,1,1
DSP-2154,ORD-15338,Duplicate charge,7705.36,0,0,1,0,1,5,0,1
DSP-2155,ORD-13480,Defective item,3134.35,1,1,1,1,1,17,0,1
DSP-2156,ORD-15937,Item not as described,4581.62,1,0,1,1,1,4,0,0
DSP-2157,ORD-14663,Item not as described,3879.98,0,0,0,0,0,8,0,0
DSP-2158,ORD-10091,Duplicate charge,6187.34,1,0,1,1,4,15,1,1
DSP-2159,ORD-11150,Item not received,6262.97,1,1,0,1,2,13,1,1
DSP-2160,ORD-10222,Defective item,6935.13,1,0,0,1,1,6,0,0
DSP-2161,ORD-13315,Item not received,9558.94,1,1,1,1,3,36,1,0
DSP-2162,ORD-15088,Transaction not recognised,3353.65,1,1,1,1,1,8,0,1
DSP-2163,ORD-12617,Transaction not recognised,9806.19,1,1,1,1,3,4,1,1
DSP-2164,ORD-12277,Item not as described,2147.02,1,0,0,0,1,32,2,0
DSP-2165,ORD-15493,Transaction not recognised,5816.44,1,1,1,1,0,5,0,1
DSP-2166,ORD-14053,Item not received,2868.98,0,0,0,0,4,13,1,0
DSP-2167,ORD-13210,Transaction not recognised,3295.53,1,1,0,1,1,1,0,1
DSP-2168,ORD-13038,Transaction not recognised,2774.59,1,1,1,1,1,0,0,1
DSP-2169,ORD-12860,Item not received,4369.92,0,0,0,0,1,4,0,0
DSP-2170,ORD-13403,Item not received,4337.58,0,0,0,0,0,17,1,0
DSP-2171,ORD-14528,Duplicate charge,4501.01,1,1,1,1,2,19,1,1
DSP-2172,ORD-14265,Duplicate charge,2762.69,0,0,0,0,1,5,1,1
DSP-2173,ORD-15939,Transaction not recognised,2368.58,1,1,0,1,1,0,0,1
DSP-2174,ORD-13490,Defective item,4748.16,1,1,1,1,1,11,1,1
DSP-2175,ORD-14581,Item not as described,6219.77,1,0,1,1,3,19,1,1
DSP-2176,ORD-14226,Transaction not recognised,4873.0,1,1,0,1,1,26,0,0
DSP-2177,ORD-10376,Item not received,6048.7,1,1,1,1,4,28,1,1
DSP-2178,ORD-11994,Duplicate charge,19593.2,1,1,0,1,1,1,1,1
DSP-2179,ORD-13620,Transaction not recognised,7350.66,1,0,1,1,2,3,1,1
DSP-2180,ORD-12405,Duplicate charge,3201.91,0,0,1,0,2,28,0,0
DSP-2181,ORD-14113,Item not received,6276.75,1,1,0,1,2,1,0,1
DSP-2182,ORD-11239,Defective item,2496.32,1,1,0,1,3,6,0,1
DSP-2183,ORD-10380,Item not as described,4386.12,1,1,0,1,0,4,1,1
DSP-2184,ORD-10485,Defective item,5221.19,1,1,1,1,3,21,0,1
DSP-2185,ORD-12004,Duplicate charge,4366.66,0,0,0,0,0,15,1,0
DSP-2186,ORD-10938,Item not received,17622.31,1,1,0,1,1,10,0,1
DSP-2187,ORD-12330,Item not received,4636.52,1,1,1,1,1,7,0,1
DSP-2188,ORD-12554,Item not received,3753.45,1,1,0,1,1,10,0,1
DSP-2189,ORD-13912,Transaction not recognised,6079.25,1,1,0,1,0,5,1,1
DSP-2190,ORD-12540,Item not received,2208.45,1,0,0,1,1,13,0,0
DSP-2191,ORD-15317,Defective item,3450.53,0,0,0,0,1,4,1,0
DSP-2192,ORD-14146,Transaction not recognised,8129.99,0,0,0,0,2,13,0,0
DSP-2193,ORD-11729,Item not received,3344.75,0,0,1,0,2,10,1,0
DSP-2194,ORD-14177,Defective item,4073.73,1,1,1,1,1,4,1,1
DSP-2195,ORD-12431,Item not received,2329.68,1,1,1,1,2,17,0,1
DSP-2196,ORD-13333,Item not as described,4104.02,1,1,0,1,1,0,1,1
DSP-2197,ORD-12924,Duplicate charge,4164.01,1,1,1,1,0,3,1,1
DSP-2198,ORD-15933,Item not as described,3306.83,1,0,1,1,2,2,1,0
DSP-2199,ORD-14061,Defective item,4867.29,0,0,1,0,2,4,0,0
DSP-2200,ORD-14713,Item not as described,4260.7,0,0,1,0,2,0,1,1
DSP-2201,ORD-10602,Duplicate charge,3442.72,1,1,1,1,0,0,1,1
DSP-2202,ORD-10947,Duplicate charge,11668.03,0,0,0,0,1,26,0,0
DSP-2203,ORD-10840,Duplicate charge,6796.8,0,0,0,0,2,49,1,0
DSP-2204,ORD-12408,Item not as described,6272.25,0,0,1,0,1,4,0,0
DSP-2205,ORD-12067,Duplicate charge,3583.09,1,1,1,1,3,1,0,1
DSP-2206,ORD-11268,Transaction not recognised,3185.55,1,1,0,1,0,8,1,1
DSP-2207,ORD-11410,Transaction not recognised,23622.78,1,1,1,1,5,3,1,1
DSP-2208,ORD-14081,Item not as described,2818.28,0,0,0,0,0,17,1,0
DSP-2209,ORD-14549,Defective item,3622.24,0,0,1,0,3,0,0,1
DSP-2210,ORD-11896,Item not received,3213.56,1,1,0,1,0,0,1,1
DSP-2211,ORD-12275,Item not as described,3401.57,1,1,1,0,2,6,2,1
DSP-2212,ORD-13668,Item not as described,6135.03,1,0,1,1,2,2,0,0
DSP-2213,ORD-12150,Item not received,1599.36,0,0,1,0,2,0,2,0
DSP-2214,ORD-15184,Item not received,4719.55,1,1,1,1,0,24,1,1
DSP-2215,ORD-12104,Item not as described,12242.98,1,1,0,1,2,2,0,0
DSP-2216,ORD-15982,Item not received,3683.89,1,0,0,1,2,1,1,1
DSP-2217,ORD-14939,Duplicate charge,3379.24,1,1,1,1,0,5,0,1
DSP-2218,ORD-14867,Item not as described,5120.44,0,0,0,0,2,4,0,0
DSP-2219,ORD-11422,Duplicate charge,7614.12,0,0,0,0,1,20,0,0
DSP-2220,ORD-12547,Duplicate charge,3886.05,1,1,0,1,1,0,0,1
DSP-2221,ORD-11015,Duplicate charge,9846.45,1,1,1,1,2,7,0,1
DSP-2222,ORD-11617,Item not as described,4487.08,1,1,1,1,1,20,0,1
DSP-2223,ORD-10723,Item not as described,2735.69,0,0,1,0,1,20,0,1
DSP-2224,ORD-10072,Item not as described,7767.86,1,0,0,1,3,4,0,1
DSP-2225,ORD-11158,Defective item,3329.27,1,1,1,0,2,3,2,1
DSP-2226,ORD-12243,Duplicate charge,3237.44,1,1,0,1,1,11,1,1
DSP-2227,ORD-13856,Defective item,2971.13,0,0,0,0,2,8,0,0
DSP-2228,ORD-15065,Item not received,2895.5,1,1,1,1,1,3,2,1
DSP-2229,ORD-11297,Item not as described,7966.13,1,0,0,1,1,13,0,1
DSP-2230,ORD-13518,Duplicate charge,5653.49,1,1,1,1,0,8,0,1
DSP-2231,ORD-11012,Duplicate charge,6395.71,1,0,1,1,2,1,0,1
DSP-2232,ORD-13750,Defective item,1765.74,1,1,1,0,2,0,0,1
DSP-2233,ORD-10597,Transaction not recognised,1544.33,1,1,1,1,1,0,0,1
DSP-2234,ORD-15961,Item not as described,3973.99,1,1,0,1,5,6,1,1
DSP-2235,ORD-15625,Duplicate charge,6225.21,1,1,0,0,3,1,0,1
DSP-2236,ORD-11529,Transaction not recognised,3346.22,1,1,0,1,3,0,1,1
DSP-2237,ORD-10879,Item not received,6233.23,1,1,0,1,1,5,0,1
DSP-2238,ORD-15575,Duplicate charge,2162.0,1,1,1,1,3,8,2,1
DSP-2239,ORD-15964,Defective item,20862.15,1,1,0,1,0,1,0,1
DSP-2240,ORD-12044,Item not received,10821.53,1,1,1,1,2,11,0,1
DSP-2241,ORD-15678,Duplicate charge,4647.68,1,1,1,1,0,10,1,1
DSP-2242,ORD-15473,Defective item,4020.22,1,1,1,1,2,14,0,1
DSP-2243,ORD-10709,Item not as described,4074.88,1,1,1,1,2,15,0,1
DSP-2244,ORD-13442,Transaction not recognised,5095.86,1,1,0,1,2,25,0,1
DSP-2245,ORD-13361,Item not as described,3946.93,1,1,1,1,0,26,0,0
DSP-2246,ORD-14523,Item not as described,4033.72,0,0,1,0,1,7,1,0
DSP-2247,ORD-15704,Defective item,3103.37,1,0,0,1,2,10,0,0
DSP-2248,ORD-10813,Item not as described,7800.3,0,0,0,0,1,9,0,0
DSP-2249,ORD-10633,Item not as described,3418.39,1,0,1,1,1,1,0,1
DSP-2250,ORD-14066,Transaction not recognised,3374.03,0,0,0,0,3,6,1,0
DSP-2251,ORD-15011,Item not received,7510.67,1,1,0,1,0,5,0,1
DSP-2252,ORD-13065,Duplicate charge,3576.04,1,1,0,1,1,1,1,1
DSP-2253,ORD-13205,Item not received,19259.19,0,0,1,0,3,16,0,0
DSP-2254,ORD-12383,Defective item,3596.49,0,0,0,0,3,4,1,1
DSP-2255,ORD-13714,Item not received,2986.33,1,1,0,1,1,8,0,1
DSP-2256,ORD-11597,Item not received,4956.32,0,0,0,0,1,30,2,0
DSP-2257,ORD-15447,Defective item,5605.21,1,0,1,0,3,9,1,1
DSP-2258,ORD-12330,Duplicate charge,4443.09,1,1,1,1,4,14,1,0
DSP-2259,ORD-14376,Duplicate charge,6538.09,1,0,0,1,0,15,1,0
DSP-2260,ORD-12704,Defective item,1777.48,1,1,1,1,0,7,1,1
DSP-2261,ORD-15562,Item not as described,17012.12,1,1,1,1,1,1,1,1
DSP-2262,ORD-12430,Item not as described,1789.42,0,0,1,0,2,12,0,1
DSP-2263,ORD-14008,Defective item,1894.53,1,1,1,0,3,11,1,0
DSP-2264,ORD-14916,Transaction not recognised,8229.04,1,1,1,1,3,6,0,1
DSP-2265,ORD-11422,Transaction not recognised,7878.6,1,1,1,1,4,1,1,1
DSP-2266,ORD-14904,Transaction not recognised,2321.51,0,0,1,0,0,2,0,0
DSP-2267,ORD-10139,Defective item,7591.28,1,0,1,1,0,1,0,1
DSP-2268,ORD-14037,Transaction not recognised,5822.37,0,0,1,0,1,6,1,1
DSP-2269,ORD-14760,Transaction not recognised,2898.2,1,0,1,1,1,24,0,1
DSP-2270,ORD-10778,Item not received,6281.3,0,0,1,0,1,8,0,0
DSP-2271,ORD-15788,Item not received,12553.49,0,0,0,0,1,1,1,0
DSP-2272,ORD-13445,Defective item,4151.9,1,1,1,1,0,8,0,1
DSP-2273,ORD-15063,Defective item,4880.94,1,1,1,1,1,2,0,1
DSP-2274,ORD-10058,Item not as described,3341.1,0,0,0,0,2,44,0,0
DSP-2275,ORD-10632,Duplicate charge,7945.85,1,1,0,1,1,3,0,1
DSP-2276,ORD-11857,Duplicate charge,1540.15,0,0,1,0,3,6,0,1
DSP-2277,ORD-10863,Item not as described,1873.74,1,1,1,1,0,4,0,1
DSP-2278,ORD-12592,Item not received,1651.84,1,1,1,1,3,3,0,1
DSP-2279,ORD-10902,Duplicate charge,15732.74,0,0,1,0,1,6,1,1
DSP-2280,ORD-10095,Defective item,3142.71,1,1,1,1,2,8,0,0
DSP-2281,ORD-13612,Item not received,3937.35,0,0,0,0,2,2,2,0
DSP-2282,ORD-10712,Item not as described,2878.68,1,1,1,1,1,0,0,1
DSP-2283,ORD-10896,Duplicate charge,2297.49,0,0,1,0,0,25,1,1
DSP-2284,ORD-13083,Item not as described,6504.88,1,1,0,1,1,3,0,0
DSP-2285,ORD-13468,Duplicate charge,4793.54,0,0,1,0,1,21,0,0
DSP-2286,ORD-13635,Item not received,7693.82,1,1,0,1,2,4,0,1
DSP-2287,ORD-11569,Transaction not recognised,4181.25,1,1,1,1,1,4,0,1
DSP-2288,ORD-14040,Item not as described,2790.96,1,1,0,0,1,0,0,0
DSP-2289,ORD-15115,Transaction not recognised,8182.34,1,0,1,1,1,17,1,0
DSP-2290,ORD-10808,Defective item,2744.98,1,1,1,1,1,8,0,1
DSP-2291,ORD-10766,Duplicate charge,3120.76,0,0,1,0,2,20,1,0
DSP-2292,ORD-12553,Item not received,7753.25,1,1,1,1,1,0,0,1
DSP-2293,ORD-10609,Transaction not recognised,9522.35,0,0,0,0,4,15,1,0
DSP-2294,ORD-10757,Item not as described,1394.85,1,0,1,1,0,2,0,0
DSP-2295,ORD-14891,Defective item,1168.51,0,0,1,0,0,11,0,0
DSP-2296,ORD-10040,Transaction not recognised,10535.11,1,0,0,1,1,6,2,0
DSP-2297,ORD-13303,Item not as described,2517.29,1,0,0,1,2,8,1,0
DSP-2298,ORD-15505,Item not received,4609.85,1,1,1,1,0,2,0,1
DSP-2299,ORD-15324,Item not as described,3981.33,1,1,0,1,3,12,1,1
DSP-2300,ORD-12929,Item not received,2742.31,1,1,1,1,0,2,0,1
DSP-2301,ORD-12598,Duplicate charge,3571.1,1,1,1,1,2,11,1,1
DSP-2302,ORD-15813,Transaction not recognised,4728.65,0,0,0,0,1,13,1,0
DSP-2303,ORD-12295,Duplicate charge,5360.61,1,0,0,1,3,0,0,1
DSP-2304,ORD-10571,Item not as described,5493.72,1,1,1,1,3,3,1,0
DSP-2305,ORD-13575,Item not received,6451.75,1,0,1,1,1,0,1,1
DSP-2306,ORD-15277,Item not as described,4572.84,1,1,1,1,2,15,0,1
DSP-2307,ORD-10600,Duplicate charge,2765.46,0,0,0,0,1,11,0,1
DSP-2308,ORD-14895,Item not received,8000.73,1,1,1,1,0,14,0,1
DSP-2309,ORD-13461,Transaction not recognised,7076.08,1,1,0,1,0,33,0,0
DSP-2310,ORD-11542,Duplicate charge,11067.66,1,1,0,1,3,7,1,1
DSP-2311,ORD-13523,Item not as described,4953.08,1,1,0,1,3,1,0,1
DSP-2312,ORD-10787,Item not received,2442.51,0,0,0,0,1,32,1,0
DSP-2313,ORD-12380,Item not as described,2884.12,1,0,0,0,3,19,0,0
DSP-2314,ORD-15600,Duplicate charge,6198.2,0,0,0,0,1,10,1,0
DSP-2315,ORD-10372,Item not received,10400.56,0,0,1,0,0,12,0,0
DSP-2316,ORD-10438,Duplicate charge,2093.36,1,1,0,1,3,26,1,1
DSP-2317,ORD-15518,Item not received,5329.28,1,1,1,1,1,40,0,1
DSP-2318,ORD-11969,Transaction not recognised,4739.42,1,0,0,1,0,4,0,0
DSP-2319,ORD-13840,Item not as described,1541.5,1,1,0,1,1,15,0,0
DSP-2320,ORD-12951,Item not as described,5869.51,1,1,1,1,1,0,2,1
DSP-2321,ORD-15453,Item not as described,4831.88,0,0,1,0,1,3,0,1
DSP-2322,ORD-10033,Duplicate charge,8481.46,0,0,1,0,2,2,0,1
DSP-2323,ORD-13259,Defective item,4559.21,1,1,0,1,1,1,0,1
DSP-2324,ORD-14625,Defective item,1687.38,1,1,0,1,2,3,0,1
DSP-2325,ORD-14673,Item not received,2800.25,1,1,0,1,2,8,0,1
DSP-2326,ORD-10406,Item not as described,9503.44,1,1,1,1,0,9,0,1
DSP-2327,ORD-15202,Duplicate charge,7158.21,0,0,0,0,1,11,4,0
DSP-2328,ORD-12206,Item not as described,3580.04,1,1,0,1,1,11,0,1
DSP-2329,ORD-15212,Item not received,22105.77,0,0,0,0,3,53,0,0
DSP-2330,ORD-14364,Duplicate charge,7583.84,1,1,0,1,0,9,1,1
DSP-2331,ORD-10964,Item not received,5136.22,1,1,1,1,2,7,0,1
DSP-2332,ORD-14541,Duplicate charge,4349.16,0,0,1,0,4,21,0,1
